country,name,player_url,team,maps,rounds,kd_diff,kd,rating
Brazil,VINI,https://www.hltv.org/stats/players/12822/vini,Imperial,1387,35026,-93,1.00,0.99
Sweden,adamb,https://www.hltv.org/stats/players/20878/adamb,Metizport,575,14042,-51,0.99,0.99
Poland,morelz,https://www.hltv.org/stats/players/8324/morelz,PRIDE,1711,44644,-487,0.98,0.98
Bosnia and Herzegovina,simke,https://www.hltv.org/stats/players/21784/simke,Zero Tenacity,732,17641,-237,0.98,0.98
France,Ex3rcice,https://www.hltv.org/stats/players/19739/ex3rcice,3DMAX,943,23920,+57,1.00,0.98
Australia,J1rah,https://www.hltv.org/stats/players/12593/j1rah,ORDER,803,20826,-29,1.00,0.98
Canada,DAVEY,https://www.hltv.org/stats/players/8508/davey,Splyce,801,20713,-294,0.98,0.98
France,bodyy,https://www.hltv.org/stats/players/8374/bodyy,fnatic,1766,45949,-319,0.99,0.98
United States,freakazoid,https://www.hltv.org/stats/players/7808/freakazoid,Mythic,1128,28457,-376,0.98,0.98
Sweden,Xizt,https://www.hltv.org/stats/players/884/xizt,Ninjas in Pyjamas,1667,42881,+511,1.02,0.98
United States,Cryptic,https://www.hltv.org/stats/players/15176/cryptic,BOSS,524,12880,-266,0.97,0.98
Russia,JIaYm,https://www.hltv.org/stats/players/19232/jiaym,HellRaisers,631,16938,-406,0.97,0.98
Slovakia,STYKO,https://www.hltv.org/stats/players/6904/styko,Apeks,2019,52914,+53,1.00,0.98
Norway,RUBINO,https://www.hltv.org/stats/players/1485/rubino,Dignitas,998,26140,-170,0.99,0.98
United States,cJ dA K1nG,https://www.hltv.org/stats/players/9571/cj-da-k1ng,Nouns,732,18004,+29,1.00,0.98
Norway,truth,https://www.hltv.org/stats/players/9298/truth,Apeks,564,15015,-104,0.99,0.98
South Africa,MisteM,https://www.hltv.org/stats/players/16811/mistem,ATK,722,18656,-284,0.98,0.98
Finland,myltsi,https://www.hltv.org/stats/players/21233/myltsi,ENCE Academy,461,11944,-150,0.98,0.98
Belgium,Stev0se,https://www.hltv.org/stats/players/12304/stev0se,EC Brugge,511,13529,-140,0.99,0.98
Portugal,pr,https://www.hltv.org/stats/players/15885/pr,OFFSET,515,13149,-237,0.97,0.98
South Africa,Fadey,https://www.hltv.org/stats/players/10611/fadey,ATK,850,21864,-431,0.97,0.98
United States,ryann,https://www.hltv.org/stats/players/12088/ryann,Singularity,697,17857,-269,0.98,0.98
Russia,Dosia,https://www.hltv.org/stats/players/735/dosia,Gambit,1468,38434,+109,1.00,0.98
