Summary Stats_DPR,Summary Stats_KPR,Detailed Stats_Deaths / round,Role Stats_Firepower_Score,Role Stats_Opening_Win% after opening kill,Role Stats_Clutching_Score,Detailed Stats_Damage / Round,Detailed Stats_Headshot %,Role Stats_Opening_Opening deaths per round,Role Stats_Entrying_Support rounds,Basic Info_Team Name,Role Stats_Sniping_Rounds with sniper kills percentage,Detailed Stats_Assists / round,Role Stats_Sniping_Sniper kills per round,URL,Role Stats_Opening_Opening kills per round,Role Stats_Sniping_Sniper multi-kill rounds,Detailed Stats_Kills / round,Detailed Stats_Rating 1.0,Role Stats_Firepower_Rating 2.0,Role Stats_Opening_Opening success,Detailed Stats_Total kills,Role Stats_Firepower_Rounds with a kill,Detailed Stats_Rating 2.0,Role Stats_Firepower_Rounds with a multi-kill,Detailed Stats_Total deaths,Role Stats_Entrying_Score,Role Stats_Clutching_Clutch points per round,Basic Info_Age,Role Stats_Trading_Trade kills percentage,Role Stats_Clutching_Saves per round loss,Role Stats_Entrying_Saved by teammate per round,Role Stats_Trading_Score,Role Stats_Utility_Utility kills per 100 rounds,Summary Stats_Impact,Role Stats_Entrying_Opening deaths traded percentage,Role Stats_Utility_Flashes thrown per round,Summary Stats_KAST,Role Stats_Firepower_Kills per round,Role Stats_Trading_Assisted kills percentage,Detailed Stats_Saved by teammate / round,Role Stats_Entrying_Traded deaths per round,Role Stats_Entrying_Assists per round,Role Stats_Trading_Trade kills per round,Role Stats_Trading_Damage per kill,Role Stats_Utility_Flash assists per round,Role Stats_Utility_Time opponent flashed per round,Summary Stats_Rating 1.0,Basic Info_Real Name,Summary Stats_ADR,Role Stats_Clutching_1on1 win percentage,Role Stats_Utility_Utility damage per round,Role Stats_Firepower_Pistol round rating,Detailed Stats_Saved teammates / round,Role Stats_Firepower_Damage per round,Detailed Stats_K/D Ratio,Role Stats_Sniping_Sniper kills percentage,Role Stats_Firepower_Kills per round win,Role Stats_Opening_Attacks per round,Role Stats_Firepower_Damage per round win,Role Stats_Sniping_Score,Basic Info_Player Name,Role Stats_Opening_Opening attempts,Role Stats_Utility_Score,Role Stats_Clutching_Time alive per round,Detailed Stats_Rounds played,Role Stats_Sniping_Sniper opening kills per round,Detailed Stats_Grenade dmg / Round,Role Stats_Clutching_Last alive percentage,Detailed Stats_Maps played,Role Stats_Trading_Saved teammate per round,Summary Stats_Rating 2.0,Role Stats_Opening_Score,Role Stats_Entrying_Traded deaths percentage
0.67,0.72,0.67,76/100,73.1%,44/100,78.2,59.3%,0.16,14.5%,RED Canids,0.3%,0.15,0.00,https://www.hltv.org/stats/players/21288/venomzera,0.13,0.0005,0.72,,1.13,46.0%,9187,45.9%,1.13,17.0%,8530,63/100,0.02,20 years,21.7%,1.9%,0.13,43/100,0.66,1.22,31.1%,0.69,72.3%,0.69,18.7%,0.10,0.18,0.14,0.15,109,0.03,1.83,,Carlos Eduardo,78.2,73.3%,2.63,1.32,0.11,75.5,1.08,0.5%,0.98,2.42,101.9,0/100,venomzera,29.8%,51/100,1m 2s,12825,0.0,3.8,8.6%,542,0.14,1.13,80/100,24.7%
0.66,0.73,0.66,80/100,75.8%,34/100,79.7,48.9%,0.10,14.3%,No team,0.2%,0.15,0.00,https://www.hltv.org/stats/players/8767/ofnu,0.07,0.0006,0.73,1.06,-,43.8%,15793,45.4%,,15.8%,14413,34/100,0.01,31 years,23.7%,1.1%,0.11,41/100,0.66,1.11,26.1%,1.00,71.4%,0.65,18.7%,0.10,0.13,0.12,0.15,103,0.05,1.82,1.06,Chris Hanley,79.7,68.8%,3.00,-,0.10,72.1,1.10,0.4%,0.90,2.41,87.8,0/100,ofnu,17.8%,79/100,0m 58s,21778,0.0006,5.2,10.3%,852,0.12,,50/100,19.3%
0.68,0.73,0.68,84/100,72.3%,40/100,83.1,50.7%,0.12,14.7%,No team,0.9%,0.16,0.01,https://www.hltv.org/stats/players/15821/neofrag,0.10,0.002,0.73,,1.09,45.6%,19458,45.9%,1.13,16.7%,18130,29/100,0.02,23 years,26.7%,2.1%,0.11,56/100,0.73,1.21,21.6%,0.61,70.9%,0.68,5.6%,0.09,0.14,0.13,0.18,112,0.02,1.93,,Adam Zouhar,83.1,67.9%,6.02,1.24,0.11,77.1,1.07,1.6%,0.96,2.75,102.0,2/100,NEOFRAG,23.0%,66/100,1m 3s,26719,0.001,8.3,9.0%,1023,0.14,1.13,77/100,19.4%
0.64,0.71,0.64,66/100,76.4%,54/100,73.0,29.5%,0.08,15.0%,Endpoint,21.4%,0.11,0.30,https://www.hltv.org/stats/players/7996/cruc1al,0.09,0.07,0.71,1.06,-,53.7%,35565,45.4%,,15.7%,31949,24/100,0.02,27 years,24.9%,2.8%,0.11,50/100,0.49,1.13,23.5%,0.58,70.5%,0.65,7.4%,0.10,0.13,0.10,0.16,100,0.05,2.15,1.06,Joey Steusel,73.0,63.4%,1.89,-,0.11,68.7,1.11,47.0%,0.90,1.79,87.2,92/100,CRUC1AL,17.8%,29/100,1m 6s,49889,0.05,2.9,13.7%,1937,0.13,,74/100,18.6%
0.66,0.72,0.66,77/100,72.2%,52/100,78.9,49.6%,0.10,15.1%,DRILLAS,0.6%,0.14,0.01,https://www.hltv.org/stats/players/9656/hadji,0.09,0.002,0.72,1.06,-,46.6%,28927,47.2%,,17.3%,26229,50/100,0.02,28 years,24.9%,2.8%,0.12,57/100,0.79,1.09,29.6%,0.59,72.6%,0.70,18.7%,0.10,0.16,0.13,0.17,109,0.02,1.95,1.06,Ali Haïnouss,78.9,65.1%,3.33,-,0.12,76.6,1.10,1.3%,0.95,2.72,98.0,1/100,hAdji,19.7%,41/100,1m 5s,39974,0.0007,4.2,11.3%,1534,0.15,,44/100,22.3%
0.67,0.73,0.67,81/100,74.7%,47/100,81.4,49.4%,0.12,14.2%,No team,0.5%,0.15,0.01,https://www.hltv.org/stats/players/10671/ethan,0.11,0.001,0.73,,1.15,46.9%,18853,47.0%,1.14,17.2%,17365,68/100,0.02,24 years,23.9%,1.1%,0.12,55/100,0.50,1.18,32.4%,0.78,72.1%,0.70,13.2%,0.11,0.18,0.13,0.16,111,0.04,1.91,,Ethan Arnold,81.4,75.7%,3.08,1.22,0.11,78.0,1.09,1.0%,0.96,2.80,100.9,1/100,Ethan,24.3%,60/100,1m 5s,25998,0.0004,4.3,8.9%,986,0.14,1.14,72/100,25.1%
0.67,0.73,0.67,82/100,77.5%,44/100,81.2,42.1%,0.10,13.8%,Steel Helmet,0.6%,0.16,0.01,https://www.hltv.org/stats/players/7026/dd,0.09,0.002,0.73,1.06,-,45.9%,18009,47.3%,,17.5%,16498,56/100,0.02,30 years,20.8%,1.8%,0.12,33/100,0.35,1.12,29.9%,0.72,72.6%,0.70,11.9%,0.11,0.16,0.15,0.14,101,0.01,1.32,1.06,Hui Wu,81.2,72.7%,2.02,-,0.10,78.6,1.09,1.3%,0.96,2.57,91.0,4/100,DD,20.3%,38/100,13m 3s,24553,0.002,3.1,9.3%,956,0.12,,51/100,23.3%
0.63,0.71,0.63,61/100,75.0%,72/100,70.6,32.8%,0.07,15.6%,No team,21.2%,0.09,0.30,https://www.hltv.org/stats/players/20018/fr3nd,0.08,0.06,0.71,,1.04,50.8%,10413,45.5%,1.07,15.6%,9265,11/100,0.03,22 years,24.0%,4.9%,0.09,42/100,0.83,1.08,21.8%,0.88,69.6%,0.65,23.8%,0.08,0.11,0.08,0.15,99,0.08,2.32,,Sebastian Kuśmierz,70.6,71.8%,2.69,1.04,0.10,65.6,1.12,45.2%,0.89,1.83,86.2,92/100,fr3nd,16.1%,57/100,1m 10s,14676,0.04,3.1,18.5%,599,0.13,1.07,59/100,16.0%
0.67,0.73,0.67,80/100,78.9%,54/100,79.6,45.9%,0.11,13.6%,Rare Atom,1.7%,0.14,0.02,https://www.hltv.org/stats/players/8605/somebody,0.10,0.005,0.73,1.06,-,46.9%,25932,47.6%,,17.7%,23715,38/100,0.02,29 years,19.6%,2.0%,0.11,21/100,0.39,1.16,26.4%,0.84,71.6%,0.71,17.0%,0.10,0.15,0.12,0.13,102,0.02,1.63,1.06,HaoWen Xu,79.6,67.3%,2.09,-,0.09,77.6,1.09,3.3%,0.96,2.51,94.0,11/100,somebody,22.0%,52/100,9m 22s,35557,0.004,3.6,10.6%,1393,0.10,,71/100,21.2%
0.61,0.70,0.61,59/100,75.4%,47/100,71.8,26.7%,0.07,17.7%,9 Pandas,21.7%,0.10,0.29,https://www.hltv.org/stats/players/14273/idisbalance,0.09,0.06,0.70,,1.06,54.6%,26144,44.5%,1.11,14.2%,22780,25/100,0.02,27 years,24.6%,6.0%,0.11,33/100,0.44,1.09,25.0%,0.79,72.4%,0.62,18.3%,0.09,0.13,0.09,0.15,105,0.08,2.32,,Artem Egorov,71.8,65.5%,1.74,1.02,0.09,65.8,1.15,46.5%,0.83,1.80,84.6,93/100,iDISBALANCE,16.9%,43/100,1m 14s,37499,0.05,2.4,13.6%,1454,0.11,1.11,74/100,19.4%
0.67,0.72,0.67,69/100,74.3%,47/100,72.6,29.5%,0.10,13.9%,NAVI Youth,22.4%,0.09,0.33,https://www.hltv.org/stats/players/9574/snatchie,0.10,0.08,0.72,1.06,-,48.4%,33162,44.0%,,15.9%,30569,22/100,0.02,26 years,22.6%,2.1%,0.10,27/100,0.41,1.15,24.9%,0.59,68.7%,0.64,-0.4%,0.08,0.13,0.08,0.14,102,0.04,2.24,1.06,Michał Rudzki,72.6,62.2%,1.41,-,0.09,67.2,1.08,51.0%,0.91,1.67,89.9,94/100,snatchie,20.8%,29/100,1m 4s,45931,0.06,1.6,13.0%,1717,0.11,,81/100,19.2%
0.63,0.71,0.63,77/100,78.0%,36/100,81.4,39.1%,0.08,14.1%,No team,0.4%,0.17,0.00,https://www.hltv.org/stats/players/8568/boltz,0.08,0.0008,0.71,1.06,-,48.5%,26722,46.2%,,16.1%,23945,11/100,0.01,27 years,19.2%,2.7%,0.08,22/100,1.54,1.09,17.5%,0.61,72.3%,0.67,11.4%,0.08,0.11,0.14,0.12,98,0.02,1.67,1.06,Ricardo Prass,81.4,72.1%,6.57,-,0.09,77.0,1.12,0.7%,0.93,2.52,84.9,0/100,boltz,17.3%,66/100,0m 58s,37799,0.0006,8.8,10.4%,1448,0.09,,39/100,16.1%
0.67,0.74,0.67,78/100,80.9%,41/100,77.5,41.3%,0.06,6.6%,No team,2.7%,0.12,0.01,https://www.hltv.org/stats/players/7429/happy,0.07,0.007,0.74,1.06,-,52.5%,28009,48.6%,,17.1%,25270,1/100,0.02,32 years,9.3%,2.2%,0.03,4/100,0.34,1.01,6.2%,0.53,67.8%,0.70,12.6%,0.06,0.04,0.10,0.06,58,0.02,1.35,1.06,Vincent Schopenhauer,77.5,65.1%,1.72,-,0.07,77.1,1.11,2.2%,0.96,1.45,52.5,13/100,Happy,14.6%,25/100,0m 43s,37912,0.005,2.7,10.5%,1462,0.04,,40/100,6.0%
0.67,0.73,0.67,80/100,75.3%,37/100,79.1,45.5%,0.10,12.7%,NRG,4.6%,0.14,0.06,https://www.hltv.org/stats/players/8735/autimatic,0.09,0.01,0.73,1.06,-,47.1%,28063,47.0%,,16.9%,25635,24/100,0.02,28 years,18.4%,2.0%,0.10,24/100,0.63,1.12,21.9%,0.63,71.5%,0.68,16.8%,0.10,0.13,0.12,0.12,96,0.03,1.84,1.06,Timothy Ta,79.1,65.3%,3.12,-,0.10,75.5,1.09,10.0%,0.95,2.23,88.4,16/100,autimatic,19.8%,49/100,0m 59s,38264,0.00,4.4,10.5%,1499,0.10,,57/100,17.7%
0.67,0.73,0.67,79/100,76.3%,45/100,78.8,50.1%,0.11,14.0%,Natus Vincere,3.3%,0.14,0.05,https://www.hltv.org/stats/players/19206/jl,0.09,0.00,0.73,,1.08,45.1%,14841,45.6%,1.12,16.4%,13626,44/100,0.02,24 years,21.6%,1.9%,0.11,36/100,0.63,1.14,26.0%,0.65,71.3%,0.67,17.0%,0.09,0.15,0.12,0.14,110,0.02,2.01,,Justinas Lekavicius,78.8,76.8%,3.47,1.05,0.10,74.2,1.09,6.7%,0.94,2.45,99.1,12/100,jL,21.4%,57/100,1m 5s,20394,0.006,4.5,9.3%,782,0.11,1.12,60/100,20.8%
0.63,0.70,0.63,67/100,73.8%,68/100,76.5,53.3%,0.07,16.0%,Liquid,0.4%,0.13,0.01,https://www.hltv.org/stats/players/4679/jks,0.06,0.001,0.70,1.06,-,47.9%,25309,45.2%,,16.2%,22778,23/100,0.03,28 years,24.1%,1.8%,0.09,44/100,0.73,1.03,24.8%,0.76,72.4%,0.66,14.5%,0.09,0.12,0.10,0.16,102,0.03,1.67,1.06,Justin Savage,76.5,72.9%,2.77,-,0.11,72.7,1.11,0.9%,0.89,2.44,86.0,3/100,jks,13.7%,65/100,1m 5s,36402,0.0002,5.3,14.2%,1399,0.13,,30/100,18.2%
0.63,0.70,0.63,62/100,74.6%,56/100,72.6,33.4%,0.09,16.8%,fnatic,19.1%,0.11,0.27,https://www.hltv.org/stats/players/19926/afro,0.09,0.06,0.70,,1.06,50.9%,17779,44.5%,1.10,15.1%,15966,19/100,0.02,25 years,22.4%,2.6%,0.10,27/100,0.75,1.12,25.2%,1.04,70.2%,0.64,5.7%,0.08,0.12,0.09,0.14,104,0.09,2.37,,Aurélien Drapier,72.6,72.5%,3.46,1.05,0.09,66.7,1.11,41.4%,0.86,1.93,86.6,91/100,afro,19.3%,79/100,1m 10s,25359,0.05,4.8,14.9%,980,0.11,1.10,74/100,18.4%
0.65,0.72,0.65,75/100,74.8%,46/100,77.5,55.1%,0.08,12.4%,No team,0.4%,0.13,0.00,https://www.hltv.org/stats/players/9083/coldyy1,0.08,0.0006,0.72,1.06,-,48.5%,17902,47.3%,,17.0%,16184,22/100,0.02,32 years,22.1%,2.2%,0.10,40/100,0.61,1.07,25.3%,0.50,71.5%,0.69,17.8%,0.09,0.12,0.11,0.15,93,0.02,1.42,1.06,Pavel Veklenko,77.5,69.3%,2.70,-,0.11,74.3,1.11,0.6%,0.94,2.20,83.5,3/100,COLDYY1,17.3%,34/100,0m 59s,24917,0.0002,3.9,10.9%,947,0.12,,40/100,18.2%
0.63,0.70,0.63,71/100,74.1%,65/100,77.8,41.4%,0.08,17.8%,500,0.3%,0.13,0.00,https://www.hltv.org/stats/players/17145/rainwaker,0.07,0.0004,0.70,,1.08,45.5%,28672,45.0%,1.11,15.7%,25802,28/100,0.03,23 years,25.0%,2.9%,0.09,45/100,0.83,1.05,25.6%,0.62,72.6%,0.65,17.3%,0.08,0.13,0.12,0.16,111,0.05,2.81,,Aleks Petrov,77.8,72.1%,3.49,1.18,0.10,73.2,1.11,0.5%,0.88,2.71,92.2,1/100,Rainwaker,15.8%,53/100,1m 5s,40886,0.0003,4.6,13.9%,1532,0.12,1.11,35/100,19.7%
0.66,0.73,0.66,79/100,73.9%,46/100,79.5,51.5%,0.10,14.9%,W7M,0.9%,0.14,0.01,https://www.hltv.org/stats/players/18894/t9rnay,0.09,0.003,0.73,,1.07,47.9%,8641,46.0%,1.11,16.3%,7896,18/100,0.02,23 years,21.0%,5.2%,0.09,36/100,0.48,1.14,17.9%,0.81,70.5%,0.67,17.1%,0.08,0.12,0.11,0.14,109,0.04,2.19,,Henrique Menacho,79.5,71.7%,3.13,1.21,0.10,74.1,1.09,1.9%,0.94,2.48,97.7,2/100,t9rnay,20.3%,65/100,1m 5s,11903,0.001,4.6,13.1%,474,0.11,1.11,65/100,17.2%
0.63,0.70,0.63,63/100,75.6%,61/100,72.5,37.0%,0.09,15.5%,TSM,17.8%,0.10,0.25,https://www.hltv.org/stats/players/10330/acor,0.08,0.05,0.70,1.06,-,48.2%,25676,44.5%,,15.6%,23010,22/100,0.03,27 years,24.1%,2.5%,0.10,36/100,0.67,1.09,24.5%,0.88,70.0%,0.64,17.9%,0.09,0.12,0.09,0.15,104,0.07,2.12,1.06,Frederik Gyldstrand,72.5,68.7%,2.68,-,0.10,67.6,1.12,39.0%,0.88,1.88,88.2,91/100,acoR,17.4%,64/100,1m 8s,36636,0.04,3.9,15.5%,1428,0.11,,63/100,18.7%
0.71,0.75,0.71,88/100,76.0%,23/100,83.7,51.0%,0.17,12.3%,TYLOO,0.2%,0.17,0.00,https://www.hltv.org/stats/players/8601/zhoking,0.14,0.0004,0.75,1.06,-,46.1%,24101,47.5%,,18.1%,22684,84/100,0.00,30 years,18.5%,0.8%,0.15,26/100,0.43,1.27,32.7%,0.50,72.6%,0.71,15.2%,0.12,0.21,0.15,0.13,106,0.01,1.41,1.06,WeiJie Zhong,83.7,60.8%,2.07,-,0.10,80.2,1.06,0.3%,1.00,2.60,100.6,0/100,zhokiNg,32.3%,31/100,0m 52s,32112,0.0003,3.8,4.4%,1258,0.11,,87/100,27.8%
0.62,0.70,0.62,62/100,76.0%,65/100,73.0,29.0%,0.08,17.7%,Wildcard,17.4%,0.11,0.24,https://www.hltv.org/stats/players/16726/phzy,0.07,0.05,0.70,,1.06,48.4%,13876,44.0%,1.09,15.2%,12336,18/100,0.02,21 years,22.8%,3.4%,0.10,32/100,0.42,1.07,26.2%,0.87,71.2%,0.63,6.9%,0.08,0.12,0.10,0.14,106,0.09,2.30,,Love Smidebrant,73.0,65.6%,2.23,1.16,0.09,68.2,1.12,36.9%,0.85,2.02,88.3,91/100,phzy,15.9%,57/100,1m 10s,19955,0.03,3.2,15.1%,760,0.11,1.09,54/100,18.4%
0.65,0.71,0.65,70/100,75.5%,50/100,75.2,51.3%,0.09,14.9%,Fire Flux,0.7%,0.12,0.01,https://www.hltv.org/stats/players/9353/paz,0.08,0.002,0.71,1.06,-,45.7%,21471,46.4%,,16.7%,19561,48/100,0.02,27 years,24.1%,1.3%,0.11,48/100,0.48,1.06,30.9%,0.67,71.5%,0.68,17.6%,0.10,0.15,0.10,0.16,104,0.03,1.59,1.06,Ahmet Karahoca,75.2,68.3%,1.79,-,0.10,72.4,1.10,1.4%,0.94,2.36,92.5,4/100,paz,17.6%,36/100,1m 5s,30130,0.0008,2.5,11.5%,1147,0.12,,38/100,22.1%
0.62,0.70,0.62,56/100,75.7%,64/100,69.6,35.0%,0.06,18.5%,Sangal,17.0%,0.10,0.23,https://www.hltv.org/stats/players/20245/samey,0.06,0.05,0.70,,1.04,51.3%,12465,44.2%,1.08,15.0%,11022,35/100,0.03,24 years,28.3%,2.8%,0.12,59/100,0.81,1.04,28.3%,0.87,72.1%,0.63,23.4%,0.10,0.14,0.10,0.17,101,0.10,2.51,,Dawid Stańczak,69.6,66.4%,2.74,1.10,0.11,64.1,1.13,36.7%,0.83,1.95,81.8,92/100,SaMey,13.6%,60/100,1m 9s,17849,0.03,3.6,16.0%,717,0.14,1.08,53/100,21.0%
0.63,0.70,0.63,64/100,73.2%,64/100,74.1,30.3%,0.08,17.1%,No team,16.9%,0.12,0.24,https://www.hltv.org/stats/players/18736/pz,0.08,0.05,0.70,,1.05,50.1%,12364,44.3%,1.10,14.3%,11119,25/100,0.03,24 years,22.0%,1.7%,0.11,24/100,1.03,1.13,23.4%,1.12,70.8%,0.63,2.9%,0.09,0.12,0.11,0.13,107,0.12,2.37,,Jordan White,74.1,79.4%,4.04,0.98,0.09,67.7,1.11,37.2%,0.84,2.25,85.8,92/100,pz,17.0%,86/100,1m 9s,17703,0.04,5.6,14.6%,709,0.10,1.10,70/100,18.7%
0.60,0.69,0.60,55/100,73.5%,48/100,70.8,31.0%,0.07,16.6%,FURIA,18.8%,0.10,0.24,https://www.hltv.org/stats/players/2023/fallen,0.07,0.06,0.69,1.06,-,49.7%,33860,42.9%,,14.2%,29821,14/100,0.02,33 years,21.8%,2.8%,0.09,17/100,0.71,1.07,20.2%,1.15,71.6%,0.61,19.1%,0.09,0.11,0.10,0.13,92,0.09,2.10,1.06,Gabriel Toledo,70.8,67.4%,2.88,-,0.08,63.8,1.14,44.0%,0.81,1.74,71.3,92/100,FalleN,15.7%,65/100,1m 4s,49302,0.04,3.4,11.3%,1908,0.09,,66/100,17.7%
0.67,0.72,0.67,73/100,73.8%,49/100,76.0,37.3%,0.11,13.3%,No team,12.4%,0.12,0.14,https://www.hltv.org/stats/players/9056/koosta,0.09,0.04,0.72,1.06,-,44.8%,18522,45.5%,,16.8%,17181,19/100,0.02,28 years,21.7%,1.8%,0.09,30/100,0.58,1.12,23.0%,0.74,69.5%,0.67,8.3%,0.09,0.12,0.10,0.14,93,0.03,1.74,1.06,Kenneth Suen,76.0,65.5%,2.47,-,0.10,71.9,1.08,24.3%,0.94,2.07,84.9,72/100,koosta,20.9%,48/100,0m 55s,25766,0.03,3.6,10.4%,977,0.10,,68/100,17.8%
0.67,0.72,0.67,78/100,74.2%,46/100,79.9,53.7%,0.11,13.4%,No team,0.2%,0.14,0.00,https://www.hltv.org/stats/players/16314/pancc,0.09,0.0004,0.72,,1.05,44.3%,11462,45.2%,1.11,16.0%,10644,33/100,0.02,26 years,25.0%,1.3%,0.11,40/100,0.98,1.15,24.4%,0.57,70.2%,0.66,0.7%,0.09,0.14,0.12,0.16,109,0.03,2.44,,Fillipe Martins,79.9,74.6%,3.30,1.15,0.10,73.5,1.08,0.4%,0.95,2.55,97.7,0/100,pancc,20.4%,61/100,1m 13s,15875,0.0003,5.3,9.4%,602,0.13,1.11,66/100,19.9%
0.65,0.71,0.65,71/100,75.0%,43/100,76.0,55.1%,0.09,13.9%,JiJieHao,0.3%,0.12,0.00,https://www.hltv.org/stats/players/10449/issaa,0.09,0.0004,0.71,1.06,-,49.1%,16750,47.1%,,17.0%,15205,47/100,0.02,27 years,25.6%,2.0%,0.12,59/100,0.70,1.07,30.3%,0.59,72.3%,0.69,17.4%,0.10,0.15,0.11,0.17,105,0.02,1.92,1.06,Issa Murad,76.0,64.7%,2.23,-,0.11,73.7,1.10,0.5%,0.97,2.34,97.0,1/100,ISSAA,18.8%,36/100,1m 6s,23483,0.0002,3.7,10.1%,900,0.14,,47/100,22.2%
0.66,0.72,0.66,74/100,77.1%,65/100,77.0,28.9%,0.08,13.9%,No team,10.9%,0.12,0.16,https://www.hltv.org/stats/players/9288/tor,0.06,0.04,0.72,1.06,-,45.1%,8271,45.1%,,15.3%,7614,19/100,0.04,31 years,22.8%,2.2%,0.09,27/100,0.40,1.14,18.6%,1.22,68.9%,0.65,18.3%,0.08,0.11,0.10,0.14,107,0.06,1.52,1.06,Tosapol Saekow,77.0,65.2%,1.90,-,0.09,70.4,1.09,24.3%,0.91,2.37,91.6,85/100,TOR,15.5%,55/100,0m 50s,11472,0.02,2.9,17.6%,452,0.10,,73/100,16.2%
0.63,0.70,0.63,69/100,73.7%,69/100,77.6,51.6%,0.09,17.6%,Vitality,0.9%,0.14,0.01,https://www.hltv.org/stats/players/18462/mezii,0.07,0.002,0.70,,1.09,44.6%,15359,44.9%,1.11,15.5%,13915,43/100,0.03,25 years,27.1%,1.8%,0.13,58/100,0.65,1.05,29.9%,0.97,73.3%,0.65,9.6%,0.10,0.15,0.13,0.17,110,0.06,2.34,,William Merriman,77.6,65.7%,3.48,1.16,0.11,73.0,1.10,1.8%,0.87,2.63,91.1,5/100,mezii,16.7%,77/100,1m 11s,21962,0.001,5.2,13.7%,840,0.14,1.11,35/100,21.7%
0.64,0.71,0.64,64/100,73.0%,64/100,72.8,33.0%,0.09,17.7%,Zero Tenacity,22.2%,0.11,0.30,https://www.hltv.org/stats/players/21783/brutmonster,0.09,0.06,0.71,,1.05,49.8%,12445,43.7%,1.10,15.0%,11271,25/100,0.03,23 years,23.5%,2.1%,0.11,29/100,0.98,1.15,26.1%,0.77,70.5%,0.63,-6.6%,0.09,0.13,0.10,0.14,104,0.06,2.10,,Adin Husić,72.8,67.6%,3.16,1.08,0.09,65.9,1.10,47.6%,0.84,1.82,84.6,93/100,brutmonster,19.9%,49/100,1m 8s,17641,0.06,3.3,14.7%,732,0.12,1.10,79/100,19.3%
0.68,0.74,0.68,81/100,72.4%,52/100,79.5,37.6%,0.09,13.1%,Lausanne,8.7%,0.13,0.12,https://www.hltv.org/stats/players/12317/fleav,0.08,0.02,0.74,,1.08,47.2%,13460,47.2%,1.10,17.2%,12509,31/100,0.02,23 years,23.8%,3.1%,0.11,45/100,0.43,1.13,26.1%,0.61,69.8%,0.70,10.4%,0.09,0.14,0.12,0.16,107,0.03,2.04,,Fodor Levente,79.5,77.0%,1.76,1.14,0.10,75.6,1.08,17.7%,0.99,2.39,101.8,40/100,fleav,18.7%,34/100,1m 0s,18265,0.01,2.9,13.5%,702,0.13,1.10,57/100,19.9%
0.59,0.68,0.59,46/100,75.4%,49/100,67.6,25.0%,0.06,14.9%,Vibe,20.2%,0.11,0.19,https://www.hltv.org/stats/players/7440/skadoodle,0.06,0.06,0.68,1.06,-,51.9%,18626,43.1%,,13.8%,16209,11/100,0.03,31 years,18.3%,2.2%,0.07,15/100,0.42,0.95,16.8%,0.72,72.9%,0.60,20.2%,0.09,0.08,0.10,0.11,69,0.03,1.35,1.06,Tyler Latham,67.6,70.5%,2.27,-,0.09,61.2,1.15,47.1%,0.79,1.24,51.9,92/100,Skadoodle,13.0%,43/100,0m 49s,27556,0.04,2.7,11.2%,1068,0.07,,54/100,12.8%
0.65,0.71,0.65,66/100,76.3%,36/100,72.9,46.8%,0.12,8.9%,FaZe,4.8%,0.13,0.03,https://www.hltv.org/stats/players/885/olofmeister,0.09,0.01,0.71,1.06,-,44.8%,29523,45.6%,,16.1%,26787,7/100,0.02,32 years,12.6%,2.4%,0.07,7/100,0.48,1.02,14.1%,0.39,69.4%,0.66,16.1%,0.09,0.08,0.11,0.08,65,0.01,1.60,1.06,Olof Kajbjer,72.9,67.6%,3.31,-,0.08,70.4,1.10,8.3%,0.94,1.43,58.2,17/100,olofmeister,21.8%,30/100,0m 41s,41438,0.01,4.4,7.5%,1585,0.06,,60/100,11.9%
0.69,0.73,0.69,84/100,75.1%,36/100,81.7,59.0%,0.16,12.4%,Liquid,0.9%,0.14,0.01,https://www.hltv.org/stats/players/13915/yekindar,0.14,0.002,0.73,,1.10,46.1%,27629,45.2%,1.13,17.3%,26146,37/100,0.01,24 years,17.9%,2.3%,0.11,15/100,0.53,1.28,24.3%,0.68,68.9%,0.68,14.3%,0.09,0.16,0.12,0.12,111,0.03,2.14,,Mareks Gaļinskis,81.7,72.3%,2.74,1.10,0.09,76.5,1.06,1.7%,1.00,2.49,105.5,6/100,YEKINDAR,31.5%,51/100,1m 3s,37673,0.002,4.2,7.5%,1437,0.10,1.13,87/100,21.2%
0.65,0.71,0.65,75/100,75.4%,42/100,78.2,48.6%,0.10,14.9%,No team,0.3%,0.14,0.00,https://www.hltv.org/stats/players/11163/trk,0.09,0.001,0.71,,1.11,46.4%,18451,46.0%,1.13,16.2%,16849,79/100,0.01,29 years,26.9%,1.5%,0.15,68/100,0.99,1.09,36.6%,0.54,73.6%,0.67,18.1%,0.12,0.19,0.13,0.18,110,0.02,1.91,,Alencar Rossato,78.2,70.7%,4.08,1.17,0.12,74.8,1.10,0.6%,0.94,2.65,97.5,0/100,trk,20.2%,49/100,1m 4s,25829,0.0,5.0,8.6%,989,0.15,1.13,44/100,26.2%
0.69,0.73,0.69,81/100,74.3%,43/100,79.4,49.9%,0.11,12.8%,500,1.8%,0.13,0.02,https://www.hltv.org/stats/players/11343/shipz,0.10,0.005,0.73,,1.10,45.7%,40219,47.4%,1.10,17.5%,37767,37/100,0.02,24 years,21.7%,1.9%,0.11,37/100,0.56,1.14,26.2%,0.69,70.2%,0.70,16.2%,0.09,0.14,0.11,0.15,108,0.03,2.22,,Georgi Grigorov,79.4,66.5%,2.76,1.15,0.10,76.8,1.06,3.3%,0.98,2.54,102.2,10/100,SHiPZ,22.1%,45/100,0m 59s,54722,0.003,3.9,10.9%,2072,0.11,1.10,66/100,19.9%
